Price,Close,High,Low,Open,Volume
Ticker,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS
Date,,,,,
2025-05-22,1555.6419677734375,1573.8162103857499,1545.4126598205469,1566.367720487606,619942
2025-05-23,1568.8016357421875,1580.166898341167,1553.2492287795194,1562.2217853000686,701082
2025-05-26,1562.62060546875,1584.4538508921546,1560.3275701003502,1583.9553755249449,566200
2025-05-27,1568.004150390625,1571.4934779313103,1553.249230967921,1565.2126396788422,787007
2025-05-28,1544.077392578125,1570.1974539261037,1537.2980787009853,1568.0042109236656,1504866
2025-05-29,1545.971435546875,1553.9470413209183,1539.6907190186676,1550.2583723296577,282508
2025-05-30,1522.34375,1552.1526008785825,1517.9571424907692,1545.6724211961987,1067726
2025-06-02,1510.1810302734375,1529.1230943414926,1506.392568780591,1525.0354989472835,543472
2025-06-03,1497.7191162109375,1520.1505074240529,1493.930654793488,1516.3620460066034,1180380
2025-06-04,1495.4261474609375,1500.4109012858073,1487.4505413411457,1497.6193904646436,656425
2025-06-05,1483.4627685546875,1503.1026503462344,1477.4810638427734,1500.90940729777,1934068
2025-06-06,1518.5552978515625,1521.3468085648612,1486.4535331390616,1490.4413360448673,707150
2025-06-09,1539.0926513671875,1543.2797959327293,1522.3438297088355,1531.316386661933,616827
2025-06-10,1564.8138427734375,1578.8708237385435,1526.3315689029607,1547.2675342504212,1021695
2025-06-11,1574.284912109375,1577.3754351087423,1565.2126845829391,1572.191339864519,656673
2025-06-12,1552.052978515625,1577.9736980529747,1548.2645169809302,1574.3845779893313,819293
2025-06-13,1536.4007568359375,1541.5849736884888,1480.7709787162555,1480.7709787162555,711058
2025-06-16,1548.3641357421875,1555.2431200358092,1521.5461370891323,1530.8178274455033,428063
2025-06-17,1523.9388427734375,1564.5148100036595,1519.7516984382305,1548.563598520074,870615
2025-06-18,1531.0172119140625,1542.0834625528528,1523.6398737523214,1523.9388859572603,253794
2025-06-19,1513.67041015625,1539.2919963910347,1510.9785700452599,1538.5941795278666,329625
2025-06-20,1528.823974609375,1534.6063376366608,1506.292912006592,1516.2624195032297,1032126
2025-06-23,1558.333740234375,1566.8078218663109,1525.3346937484553,1527.3285953089107,661255
2025-06-24,1568.502685546875,1584.1547638611057,1547.36725633302,1566.0103086370873,1138399
2025-06-25,1564.514892578125,1594.124281778068,1561.8230524793441,1571.59321870794,1082601
2025-06-26,1569.200439453125,1581.861664967699,1547.1678527940674,1567.2065380052811,1376736
2025-06-27,1562.0224609375,1589.1394722617272,1554.844342623613,1570.297079022645,1884791
2025-06-30,1546.3702392578125,1571.7924826474937,1531.415978440353,1567.5056675653402,1565123
2025-07-01,1543.1800537109375,1559.2309360661184,1536.2013986262425,1547.2675273494986,662726
2025-07-02,1545.7720947265625,1547.2675208098194,1530.7181631613935,1543.2797179211343,580598
2025-07-03,1567.8046875,1586.547409829613,1540.4882132656824,1549.2614283344558,1087139
2025-07-04,1572.7894287109375,1587.145543392801,1559.2309232828775,1571.094661169212,639702
2025-07-07,1532.9114990234375,1588.641072111752,1521.9450404145707,1576.8770041975483,1114712
2025-07-08,1527.42822265625,1536.8992547993612,1509.3834383863611,1536.3011086878353,890061
2025-07-09,1519.0538330078125,1533.210606899514,1506.492277699694,1529.3224745736914,888113
2025-07-10,1525.0355224609375,1527.2288871425415,1508.386493518391,1515.2654780729972,736380
2025-07-11,1523.141357421875,1530.817829280223,1514.8666177735583,1530.3193539206397,1687155
2025-07-14,1521.74560546875,1530.0202234374324,1508.3864414625118,1516.8605225943236,981425
2025-07-15,1533.310302734375,1536.3011550804108,1517.9572363517723,1518.3560410041957,705444
2025-07-16,1520.349853515625,1534.7059682753243,1515.4647706302853,1532.412932931771,755182
2025-07-17,1527.9266357421875,1532.313243211362,1517.6581164350287,1520.3498346762049,1502245
2025-07-18,1513.8697509765625,1542.7813234351206,1510.3804232660468,1531.3163895291407,1342857
2025-07-21,1526.9296875,1532.313245689143,1506.9906732424965,1510.3803300058892,847973
2025-07-22,1573.786376953125,1578.7711305363403,1510.4800064462904,1550.2583643799658,5086878
2025-07-23,1567.9044189453125,1578.6715358831777,1543.1801129999092,1578.1730605008338,1664830
2025-07-24,1547.4669189453125,1569.3998356362931,1540.8870682776364,1567.9044094982717,935752
2025-07-25,1518.9541015625,1548.7629526049745,1513.7700064673247,1547.4668679821375,942201
2025-07-28,1503.202392578125,1529.7212582422944,1488.8462774093891,1519.2532753460625,756595
2025-07-29,1505.6947021484375,1512.3742232091518,1486.7526387067935,1502.504386865731,728746
2025-07-30,1523.3406982421875,1527.7273057442821,1501.4077824298,1508.2867667287567,704672
2025-07-31,1496.0242919921875,1530.3194226105038,1492.1361596732984,1505.3956535126129,705250
2025-08-01,1478.0791015625,1496.8218236310229,1471.499251201622,1496.024214382032,721140
2025-08-04,1503.9998779296875,1507.1901933502793,1467.710846270301,1478.0791584155672,418757
2025-08-05,1498.2176513671875,1511.7761573686366,1490.4413867570447,1503.999892758494,494352
2025-08-06,1484.1605224609375,1502.9032451090286,1472.895052083617,1497.4200160223954,881779
2025-08-07,1490.1422119140625,1499.1147685109313,1468.309088220152,1475.3874140847308,822755
2025-08-08,1487.0517578125,1502.2054826741503,1479.574626969016,1500.1117886795003,716786
2025-08-11,1469.7047119140625,1485.4565820675707,1446.974308375102,1485.4565820675707,1445173
2025-08-12,1460.33349609375,1477.4810001831722,1448.0709532834396,1475.8859033350077,1076222
2025-08-13,1461.43017578125,1472.895109775096,1454.5511910453238,1463.5237480839858,557221
2025-08-14,1474.689453125,1490.3416524136774,1458.638570907662,1462.9255076735365,861774
2025-08-18,1547.86572265625,1577.1760992834363,1519.9511014299944,1520.3499060728448,1496208
2025-08-19,1565.212646484375,1568.2034986751094,1537.497367504334,1547.6663379716836,604629
2025-08-20,1563.119140625,1570.097796032869,1555.2432051822152,1555.7416805684916,643628
2025-08-21,1548.8626708984375,1568.2035399134022,1545.8718186290541,1568.2035399134022,442684
2025-08-22,1551.25537109375,1557.0377341382455,1541.2858635674404,1548.2645188358572,457314
2025-08-25,1557.237060546875,1566.309287968446,1546.6694070108226,1555.2431590608994,586960
2025-08-26,1513.2716064453125,1552.750832814822,1504.2990494659653,1550.2584558761143,4779697
2025-08-28,1514.7669677734375,1523.340719735999,1507.5888494783421,1509.8818848430435,655530
2025-08-29,1520.947998046875,1533.6093452426462,1507.38949255924,1507.38949255924,1112664
2025-09-01,1569.3997802734375,1572.2909617112396,1511.8757722060266,1521.446474812125,897681
2025-09-02,1577.9736328125,1600.1058899001089,1570.496502485864,1572.091599282596,1448767
2025-09-03,1561.3245849609375,1593.9249483342585,1558.0347204210857,1577.176126628874,795321
2025-09-04,1579.8677978515625,1592.3296821713927,1569.1008028180827,1588.1425377191654,937677
2025-09-05,1577.674560546875,1584.9523496949842,1559.4303131579975,1579.8678035157927,463270
2025-09-08,1574.384521484375,1591.6318175444542,1568.6022803524227,1577.1760321674453,606915
2025-09-09,1582.260498046875,1586.1486302796986,1559.4303017189447,1579.1699750867647,417622
2025-09-10,1570.59619140625,1594.1242041002574,1566.2095838908722,1583.058075428297,458241
2025-09-11,1569.5992431640625,1578.0733243124414,1560.2278820250615,1575.1821428751418,580706
2025-09-12,1567.8046875,1572.6897703974287,1562.4211292395294,1569.2004428561347,428195
2025-09-15,1590.3358154296875,1596.1181785596714,1570.5962632546127,1579.170015514378,506002
2025-09-16,1609.8760986328125,1613.9635723145038,1589.8372914625593,1597.1150805211983,833915
2025-09-17,1588.6409912109375,1616.156807070518,1587.145565113155,1615.0601856050948,719829
2025-09-18,1589.4385986328125,1594.3235598547683,1578.7711527954798,1591.0336954623137,940785
2025-09-19,1585.9493408203125,1605.090747012278,1581.6624038105458,1595.12123926686,551120
2025-09-22,1576.478271484375,1594.722397211701,1573.1882853263198,1584.0550728535532,396646
2025-09-23,1567.5057373046875,1580.5657679933674,1560.2279480371626,1576.478294194358,436090
2025-09-24,1539.7904052734375,1566.8077457657464,1536.1017362449925,1565.013307467349,732959
2025-09-25,1534.9053955078125,1554.0469234896916,1529.4221662215298,1536.699955589833,727426
2025-09-26,1502.8035888671875,1534.0080744059248,1496.4230797106818,1529.322454547759,953494
2025-09-29,1500.6102294921875,1516.2624293827473,1491.4383312147554,1501.4078387763514,794772
2025-09-30,1497.4200439453125,1509.383453084689,1490.4413886140094,1500.6102377032432,853021
2025-10-01,1480.671142578125,1506.193178056838,1478.6772411624809,1497.4199631487697,786430
2025-10-03,1483.5623779296875,1486.8523640643957,1467.5114952895756,1475.4871012422363,1019221
2025-10-06,1493.133056640625,1496.4230427222471,1480.671172540673,1486.3538647091034,499550
2025-10-07,1497.7191162109375,1503.6010281039078,1493.1330455377872,1495.4260808743622,615736
2025-10-08,1498.9154052734375,1504.3986342252192,1479.5745369948083,1492.5348963353833,416913
2025-10-09,1481.2694091796875,1504.398616903476,1476.1848632153833,1500.4108140753688,561521
2025-10-10,1491.338623046875,1515.3651113276499,1475.6864235491778,1476.6833742803144,817076
